id;"team_name";"buff_1";"alias";"nickname";"buff_2";"buff_3";"dob";"hometown";"region_code";"user_id";"picture";"picture_small";"address";"postcode";"city";"state";"country";"description";"checked_out";"checked_out_time";"params";"class";"avatar";"group_link";"status";"roster_link"
1;"Central Islip Hoboes";;"central-islip-hoboes";"Hoboes";;;"0000-00-00";"Central Islip";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_fd57849e455d8354f06574fd.jpg";"../index.php/dm-list/individual/1-central-islip-hoboes";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Central Islip Hoboes"
2;"Main-Transit Slo-Pokes";;"main-transit-slo-pokes";"Slo-Pokes";;;"0000-00-00";"Main-Transit";"2";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"4";"images/avatar/group/thumb_b4d47c4c60fff23741540ae9.jpg";"../index.php/dm-list/individual/2-main-transit-slo-pokes";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Main-Transit Slo-Pokes"
3;"Point Pleasant Pea Pickers";;"point-pleasant-pea-pickers";"Pea Pickers";;;"0000-00-00";"Point Pleasant";"2";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"4";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/3-point-pleasant-pea-pickers";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Point Pleasant Pea Pickers"
4;"North Lindenhurst Piston Knockers";;"north-lindenhurst-piston-knockers";"Piston Knockers";;;"0000-00-00";"North Lindenhurst";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/4-north-lindenhurst-piston-knockers";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=North Lindenhurst Piston Knockers"
5;"Deer Park Bucks";;"deer-park-bucks";"Bucks";;;"0000-00-00";"Deer Park";"4";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"2";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/5-deer-park-bucks";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Deer Park Bucks"
6;"Main-Transit Fast-Pokes";;"main-transit-fast-pokes";"Fast-Pokes";;;"0000-00-00";"Main-Transit";"2";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"6";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/6-main-transit-fast-pokes";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Main-Transit Fast-Pokes"
7;"West Hempstead Westerners";;"west-hempstead-westerners";"Westerners";;;"0000-00-00";"West Hempstead";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"1";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/7-west-hempstead-westerners";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=West Hempstead Westerners"
8;"North Bellmore Rinky Dinks";;"north-bellmore-rinky-dinks";"Rinky Dinks";;;"0000-00-00";"North Bellmore";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"1";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/8-north-bellmore-rinky-dinks";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=North Bellmore Rinky Dinks"
9;"Port Washington Road Runners";;"port-washington-road-runners";"Road Runners";;;"0000-00-00";"Port Washington";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"1";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/9-port-washington-road-runners";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Port Washington Road Runners"
10;"Roslyn Highlanders";;"roslyn-highlanders";"Highlanders";;;"0000-00-00";"Roslyn";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"3";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/10-roslyn-highlanders";"0";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Roslyn Highlanders"
11;"Carle Place Frogs";;"carle-place-frogs";"Frogs";;;"0000-00-00";"Carle Place";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"1";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/11-carle-place-frogs";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Carle Place Frogs"
12;"Westbury Turtles";;"westbury-turtles";"Turtles";;;"0000-00-00";"Westbury";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"1";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/12-westbury-turtles";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Westbury Turtles"
13;"Manhasset-Lakeville Minute Men";;"manhasset-lakeville-minute-men";"Minute Men";;;"0000-00-00";"Manhasset-Lakeville";"1";"0";;;;;;;;;"0";"0000-00-00 00:00:00";;"1";"images/avatar/group/thumb_group_default.jpg";"../index.php/dm-list/individual/13-manhasset-lakeville-minute-men";"1";"../../../index.php?option=com_fabrik&view=list&listid=12&resetfilters=1&fm_team_members___team=Manhasset-Lakeville Minute Men"
