id;"name";"alias";"ordering";"checked_out";"checked_out_time";"published";"params";"year_count";"created";"year_selector";"admin_id";"date_month";"count"
1;"1980";"1980";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
2;"1983";"1983";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
3;"1985";"1985";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
4;"1986";"1986";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
5;"1987";"1987";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
6;"1989";"1989";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
7;"1990";"1990";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
8;"1991";"1991";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
9;"1992";"1992";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
10;"1993";"1993";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
11;"1994";"1994";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
12;"1995";"1995";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
13;"1996";"1996";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
14;"1997";"1997";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
15;"1998";"1998";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
16;"1999";"1999";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
17;"2000";"2000";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
18;"2001";"2001";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
19;"2002";"2002";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
20;"2003";"2003";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
21;"2004";"2004";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
22;"2005";"2005";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
23;"2006";"2006";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
24;"2007";"2007";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
25;"2008";"2008";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
26;"2009";"2009";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
27;"2010";"2010";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
28;"2013";"2013";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
29;"2011";"2011";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
30;"2012";"2012";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
31;"2014";"2014";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
32;"2015";"2015";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
43;"2016";"2016";"0";"0";"0000-00-00 00:00:00";"1";;NULL;"2017-03-09 23:34:08";NULL;"481";NULL;NULL
44;"1982";"1982";"0";"0";"0000-00-00 00:00:00";"1";;NULL;"2017-04-17 17:56:45";NULL;"533";NULL;NULL
45;"1981";"1981";"0";"0";"0000-00-00 00:00:00";"1";;NULL;"2017-04-17 17:57:00";NULL;"533";NULL;NULL
46;"2017";"2017";"0";"0";"0000-00-00 00:00:00";"1";;NULL;"2017-05-02 03:06:54";NULL;"481";NULL;NULL
47;"2018";"2018";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
48;"2019";"2019";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
49;"2020";"2020";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
50;"2021";"2021";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
51;"2022";"2022";"0";"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL
