id;"name";"short_name";"alias";"country";"picture";"thumbnail";"description";"checked_out";"checked_out_time";"published";"params";"last_modified_by";"mod_date";"drill_type";"year_name";"division_name";"full_results";"media";"date";"verified";"edit_link";"delete_drill";"add_edit_events";"abbrev"
1;"2nd & 4th Battalion OF Drill";"2nd & 4th Battalion OF ";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"2 & 4 Batt OF"
2;"2nd 3rd & 4th Battalion OF Drill";"234 Batt OF Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"2-3-4 Batt OF"
3;"5th Battalion OF Drill";"5th Battalion OF Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"5th Batt OF"
4;"6th Battalion OF Drill";"6th Battalion OF Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"6th Batt OF"
5;"7th Battalion Drill";"7th Battalion Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"7th Batt OF"
6;"Bay Shore Jr. Invitational Drill";"Bay Shore Jr Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Bay Shore Jrs"
7;"Bayville Invitational OF Drill";"Bayville OF Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Bayville OF"
8;"Central Islip Invitational Drill";"Central Islip Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;;;;NULL;NULL;"<a style='font-size:100%;font-weight:normal;' href='../../index.php?option=com_fabrik&view=list&listid=46&resetfilters=1&world_tracks_events___projectround_id=11'>Full Results</a>";"{tip Currently Unavailable}Photos | Videos {/tip}";"7/30/83";"[""""]";NULL;NULL;NULL;"Central Islip"
9;"Central Islip Jr. Invitational Drill";"Central Islip Jr Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"CI Jrs"
10;"Clayton 'Crossover' Drill";"Clayton Crossover Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Clayton X-Over"
